DATE,TIME,AWAY,HOME
2016-11-12,6:00 PM,St. Louis Blues,Columbus Blue Jackets
2016-11-15,7:00 PM,Buffalo Sabres,St. Louis Blues
2016-11-17,7:00 PM,San Jose Sharks,St. Louis Blues
2016-11-19,7:00 PM,Nashville Predators,St. Louis Blues
2016-11-22,6:00 PM,St. Louis Blues,Boston Bruins
2016-11-23,6:00 PM,St. Louis Blues,Washington Capitals
2016-11-26,7:00 PM,Minnesota Wild,St. Louis Blues
2016-11-28,7:00 PM,Dallas Stars,St. Louis Blues
2016-12-01,7:00 PM,Tampa Bay Lightning,St. Louis Blues
2016-12-03,6:00 PM,Winnipeg Jets,St. Louis Blues
2016-12-06,7:00 PM,Montreal Canadiens,St. Louis Blues
2016-12-08,6:00 PM,St. Louis Blues,New York Islanders
2016-12-09,6:30 PM,St. Louis Blues,New Jersey Devils
2016-12-11,5:00 PM,St. Louis Blues,Minnesota Wild
2016-12-13,7:00 PM,St. Louis Blues,Nashville Predators
2016-12-15,7:00 PM,New Jersey Devils,St. Louis Blues
2016-12-17,7:00 PM,Chicago Blackhawks,St. Louis Blues
2016-12-19,7:00 PM,Edmonton Oilers,St. Louis Blues
2016-12-20,7:30 PM,St. Louis Blues,Dallas Stars
2016-12-22,6:30 PM,St. Louis Blues,Tampa Bay Lightning
2016-12-28,7:00 PM,Philadelphia Flyers,St. Louis Blues
2016-12-30,7:00 PM,Nashville Predators,St. Louis Blues
2017-01-02,12:00 PM,Chicago Blackhawks,St. Louis Blues
2017-01-05,7:00 PM,Carolina Hurricanes,St. Louis Blues
2017-01-07,7:00 PM,Dallas Stars,St. Louis Blues
2017-01-10,7:00 PM,Boston Bruins,St. Louis Blues
2017-01-12,9:30 PM,St. Louis Blues,Los Angeles Kings
2017-01-14,9:30 PM,St. Louis Blues,San Jose Sharks
2017-01-15,8:00 PM,St. Louis Blues,Anaheim Ducks
2017-01-17,7:00 PM,Ottawa Senators,St. Louis Blues
2017-01-19,7:00 PM,Washington Capitals,St. Louis Blues
2017-01-21,2:00 PM,St. Louis Blues,Winnipeg Jets
2017-01-24,6:00 PM,St. Louis Blues,Pittsburgh Penguins
2017-01-26,7:00 PM,St. Louis Blues,Minnesota Wild
2017-01-31,7:00 PM,Winnipeg Jets,St. Louis Blues
2017-02-02,7:00 PM,Toronto Maple Leafs,St. Louis Blues
2017-02-04,7:00 PM,Pittsburgh Penguins,St. Louis Blues
2017-02-06,6:00 PM,St. Louis Blues,Philadelphia Flyers
2017-02-07,6:30 PM,St. Louis Blues,Ottawa Senators
2017-02-09,6:30 PM,St. Louis Blues,Toronto Maple Leafs
2017-02-11,6:00 PM,St. Louis Blues,Montreal Canadiens
2017-02-15,7:00 PM,St. Louis Blues,Detroit Red Wings
2017-02-16,7:00 PM,Vancouver Canucks,St. Louis Blues
2017-02-18,12:00 PM,St. Louis Blues,Buffalo Sabres
2017-02-20,7:00 PM,Florida Panthers,St. Louis Blues
2017-02-26,6:30 PM,St. Louis Blues,Chicago Blackhawks
2017-02-28,7:00 PM,Edmonton Oilers,St. Louis Blues
2017-03-03,7:00 PM,St. Louis Blues,Winnipeg Jets
2017-03-05,7:00 PM,St. Louis Blues,Colorado Avalanche
2017-03-07,7:00 PM,St. Louis Blues,Minnesota Wild
2017-03-10,7:00 PM,Anaheim Ducks,St. Louis Blues
2017-03-11,7:00 PM,New York Islanders,St. Louis Blues
2017-03-13,9:00 PM,St. Louis Blues,Los Angeles Kings
2017-03-15,9:00 PM,St. Louis Blues,Anaheim Ducks
2017-03-16,9:30 PM,St. Louis Blues,San Jose Sharks
2017-03-18,8:00 PM,St. Louis Blues,Arizona Coyotes
2017-03-21,8:00 PM,St. Louis Blues,Colorado Avalanche
2017-03-23,7:00 PM,Vancouver Canucks,St. Louis Blues
2017-03-25,6:00 PM,Calgary Flames,St. Louis Blues
2017-03-27,7:00 PM,Arizona Coyotes,St. Louis Blues
2017-03-29,9:30 PM,St. Louis Blues,Arizona Coyotes
2017-03-31,8:00 PM,St. Louis Blues,Colorado Avalanche
2017-04-02,5:00 PM,Nashville Predators,St. Louis Blues
2017-04-04,7:00 PM,Winnipeg Jets,St. Louis Blues
2017-04-06,6:30 PM,St. Louis Blues,Florida Panthers
2017-04-08,6:00 PM,St. Louis Blues,Carolina Hurricanes
2017-04-09,5:00 PM,Colorado Avalanche,St. Louis Blues
